speaker_name,year,sum_male,sum_female,sum_neutral_female,sum_neutral_male,sum_neutral,ratio_neutral_male,ratio_neutral_female
Thomas A. Barnico,1999,0,0,0,0,0,0,0
Timothy B. Dyk,1999,0,0,0,0,0,0,0
Seth P. Waxman,1999,0,0,0,0,0,0,0
Joseph D. O'Neill,1999,0,0,0,0,0,0,0
Edward C. DuMont,1999,0,0,0,0,0,0,0
Lisa S. Gochman,1999,0,0,0,0,0,0,0
Michael E. Rosman,1999,0,0,0,0,0,0,0
Julie Goldscheid,1999,0,0,0,0,0,0,0
Seth P. Waxman,1999,0,0,0,0,0,0,0
Debra J. Dixon,1999,0,0,0,0,0,0,0
Jack A. Wheat,1999,0,0,0,0,0,0,0
Dennis P. Riordan,1999,0,0,0,0,0,0,0
Seth M. Hufstedler,1999,0,0,0,0,0,0,0
Rita La Lumia,1999,0,0,0,0,0,0,0
Paul R. Q. Wolfson,1999,0,0,0,0,0,0,0
Patricia A. Millett,1999,0,0,0,0,0,0,0
Taylor B. Smith,1999,0,0,0,0,0,0,0
Jim Waide,1999,0,0,0,0,0,0,0
Paul G. Cassell,1999,0,0,0,0,0,0,0
James W. Hundley,1999,0,0,0,0,0,0,0
Seth P. Waxman,1999,0,0,0,0,0,0,0
Donald J. McCauley,1999,0,0,0,0,0,0,0
David C. Frederick,1999,0,0,0,0,0,0,0
Donald M. Falk,1999,0,0,0,0,0,0,0
Michael R. Dreeben,1999,0,0,0,0,0,0,0
Mark E. Olive,1999,0,0,0,0,0,0,0
"Robert H. Anderson, III",1999,0,0,0,0,0,0,0
Beth S. Brinkmann,1999,0,0,0,0,0,0,0
Peter C. Hein,1999,0,0,0,0,0,0,0
"Robert A. Long, Jr.",1999,0,0,0,0,0,0,0
John Cornyn,1999,0,0,0,0,0,0,0
Jay A. Sekulow,1999,0,0,0,0,0,0,0
Anthony P. Griffin,1999,0,0,0,0,0,0,0
James K. Robinson,1999,0,0,0,0,0,0,0
Stephen P. Halbrook,1999,0,0,0,0,0,0,0
Donald R. Curry,1999,0,0,0,0,0,0,0
John H. Blume,1999,0,0,0,0,0,0,0
George A. Davidson,1999,0,0,0,0,0,0,0
Evan Wolfson,1999,0,0,0,0,0,0,0
Katherine P. Baldwin,1999,0,0,0,0,0,0,0
David I. Bruck,1999,0,0,0,0,0,0,0
Donald B. Stenberg,1999,0,0,0,0,0,0,0
Simon Heller,1999,0,0,0,0,0,0,0
H. Candace Gorman,2003,0,0,0,0,0,0,0
Edward L. Marshall,2003,0,0,0,0,0,0,0
Robert C. Owen,2003,0,0,0,0,0,0,0
"G. Eric Brunstad, Jr.",2003,0,0,0,0,0,0,0
David B. Salmons,2003,0,0,0,0,0,0,0
Rebecca J. Harper,2003,0,0,0,0,0,0,0
Thomas F. Jacobs,2003,0,0,0,0,0,0,0
Eric J. Olsson,2003,0,0,0,0,0,0,0
Patricia A. Millett,2003,0,0,0,0,0,0,0
Donald J. Ramsell,2003,0,0,0,0,0,0,0
Gary Feinerman,2003,0,0,0,0,0,0,0
Paul D. Clement,2003,0,0,0,0,0,0,0
Mark W. Biggerman,2003,0,0,0,0,0,0,0
"Donald B. Verrilli, Jr.",2003,0,0,0,0,0,0,0
