docket_id,judge_name,lawyer_gender,judge_gender,Segal/Cover,num_male_lawyer,num_female_lawyer,num_male_ratio_lawyer,num_female_ratio_lawyer,num_male_neutral_lawyer,num_female_neutral_lawyer,num_male_judge,num_female_judge,num_male_ratio_judge,num_female_ratio_judge,ratio_male_neutral_judge,num_male_neutral_judge,ratio_female_neutral_judge,num_female_neutral_judge,judge_interrupt_male,judge_interrupt_female,judge_interrupt_male_judge,judge_interrupt_female_judge,judge_interrupt_male_lawyer,judge_interrupt_female_lawyer,judge_interrupt_male_n,judge_interrupt_female_n,judge_interrupt_male_judge_n,judge_interrupt_female_judge_n,judge_interrupt_male_lawyer_n,judge_interrupt_female_lawyer_n,judge_interrupted_male,judge_interrupted_female,judge_interrupted_male_judge,judge_interrupted_female_judge,judge_interrupted_male_lawyer,judge_interrupted_female_lawyer,judge_interrupted_male_n,judge_interrupted_female_n,judge_interrupted_male_judge_n,judge_interrupted_female_judge_n,judge_interrupted_male_lawyer_n,judge_interrupted_female_lawyer_n,decision_general,decision
1998_96_1793,William H. Rehnquist,,0,0.045,0,0,0,0,0,0,0.861111111111,0.0,1.0,0.0,0.272241082523,0.45145631068,0.35925889935,0.487804878049,527,44,80,0,447,44,0.329145728643,0.21568627451,0.645161290323,0.0,0.303874915024,0.21568627451,115,5,9,0,106,5,0.282442748092,0.0833333333333,0.0927835051546,0.0,0.307246376812,0.0925925925926,2
1998_96_1793,William H. Rehnquist,1,0,0.045,0,0,0,0,0,0,0.861111111111,0.0,1.0,0.0,0.272241082523,0.45145631068,0.35925889935,0.487804878049,527,44,80,0,447,44,0.329145728643,0.21568627451,0.645161290323,0.0,0.303874915024,0.21568627451,115,5,9,0,106,5,0.282442748092,0.0833333333333,0.0927835051546,0.0,0.307246376812,0.0925925925926,2,0
1998_96_1793,William H. Rehnquist,0,0,0.045,0,0,0,0,0,0,0.861111111111,0.0,1.0,0.0,0.272241082523,0.45145631068,0.35925889935,0.487804878049,527,44,80,0,447,44,0.329145728643,0.21568627451,0.645161290323,0.0,0.303874915024,0.21568627451,115,5,9,0,106,5,0.282442748092,0.0833333333333,0.0927835051546,0.0,0.307246376812,0.0925925925926,2,1
1998_96_1793,Sandra Day O'Connor,,1,0.415,0,0,0,0,0,0,0.222222222222,0.555555555556,0.17260231833,0.442614265762,0.281606609753,0.696601941748,0.475855133144,0.723577235772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1998_96_1793,Sandra Day O'Connor,1,1,0.415,0,0,0,0,0,0,0.222222222222,0.555555555556,0.17260231833,0.442614265762,0.281606609753,0.696601941748,0.475855133144,0.723577235772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1998_96_1793,Sandra Day O'Connor,0,1,0.415,0,0,0,0,0,0,0.222222222222,0.555555555556,0.17260231833,0.442614265762,0.281606609753,0.696601941748,0.475855133144,0.723577235772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1998_97_1121,David H. Souter,0,0,0.325,0,0,0,0,0,0,0.333333333333,0.0,0.416520448104,0.0,0.285591519771,0.412621359223,0.411873510405,0.422764227642,523,103,22,0,501,103,0.326633165829,0.504901960784,0.177419354839,0.0,0.340584636302,0.504901960784,78,26,21,6,57,20,0.188295165394,0.433333333333,0.216494845361,0.4,0.165217391304,0.37037037037,2,0
1998_97_1121,David H. Souter,0,0,0.325,0,0,0,0,0,0,0.333333333333,0.0,0.416520448104,0.0,0.285591519771,0.412621359223,0.411873510405,0.422764227642,523,103,22,0,501,103,0.326633165829,0.504901960784,0.177419354839,0.0,0.340584636302,0.504901960784,78,26,21,6,57,20,0.188295165394,0.433333333333,0.216494845361,0.4,0.165217391304,0.37037037037,2,1
1998_97_1121,Antonin Scalia,0,0,0.0,0,0,0,0,0,0,1.0,0.222222222222,0.564368808739,0.12864391951,0.426720174333,0.936893203883,0.333150628276,0.934959349593,1595,204,124,0,1471,204,1.0,1.0,1.0,0.0,1.0,1.0,397,60,52,6,345,54,1.0,1.0,0.536082474227,0.4,1.0,1.0,2,0
1998_97_1121,Antonin Scalia,0,0,0.0,0,0,0,0,0,0,1.0,0.222222222222,0.564368808739,0.12864391951,0.426720174333,0.936893203883,0.333150628276,0.934959349593,1595,204,124,0,1471,204,1.0,1.0,1.0,0.0,1.0,1.0,397,60,52,6,345,54,1.0,1.0,0.536082474227,0.4,1.0,1.0,2,1
