,speaker_name,year,sum_male,sum_female,sum_neutral_female,sum_neutral_male,sum_neutral,ratio_neutral_male,ratio_neutral_female,ratio_male,ratio_female
137,Michael R. Dreeben,1998,0,0,0,0,0,0,0,0.0,0.0
138,Alan B. Morrison,1998,0,0,0,0,0,0,0,0.0,0.0
139,Jeffrey M. Sewell,1998,0,0,0,0,0,0,0,0.0,0.0
140,Kent L. Jones,1998,0,0,0,0,0,0,0,0.0,0.0
141,Eric W. Bloom,1998,0,0,0,0,0,0,0,0.0,0.0
142,Robert W. Ray,1998,0,0,0,0,0,0,0,0.0,0.0
143,William B. Mallin,1998,0,0,0,0,0,0,0,0.0,0.0
144,David C. Todd,1998,0,0,0,0,0,0,0,0.0,0.0
145,Seth P. Waxman,1998,0,0,0,0,0,0,0,0.0,0.0
146,Barbara B. McDowell,1998,0,0,0,0,0,0,0,0.0,0.0
147,Paul S. Rehurek,1998,0,0,0,0,0,0,0,0.0,0.0
148,Donna D. Domonkos,1998,0,0,0,0,0,0,0,0.0,0.0
149,Eric Schnapper,1998,0,0,0,0,0,0,0,0.0,0.0
150,Raymond C. Fay,1998,0,0,0,0,0,0,0,0.0,0.0
151,Seth P. Waxman,1998,0,0,0,0,0,0,0,0.0,0.0
152,Carolyn M. Snurkowski,1998,0,0,0,0,0,0,0,0.0,0.0
153,Malcolm L. Stewart,1998,0,0,0,0,0,0,0,0.0,0.0
154,David P. Gauldin,1998,0,0,0,0,0,0,0,0.0,0.0
155,Richard A. Mescon,1998,0,0,0,0,0,0,0,0.0,0.0
156,"Drew S. Days, III",1998,0,0,0,0,0,0,0,0.0,0.0
157,Timothy M. Kelly,1998,0,0,0,0,0,0,0,0.0,0.0
158,Barbara B. McDowell,1998,0,0,0,0,0,0,0,0.0,0.0
159,Thomas L. Casey,1998,0,0,0,0,0,0,0,0.0,0.0
160,Deborah LaBelle,1998,0,0,0,0,0,0,0,0.0,0.0
161,Deborah A. La Belle,1998,0,0,0,0,0,0,0,0.0,0.0
162,John M. Economidy,1998,0,0,0,0,0,0,0,0.0,0.0
163,Michael R. Dreeben,1998,0,0,0,0,0,0,0,0.0,0.0
164,Stuart Kirsch,1998,0,0,0,0,0,0,0,0.0,0.0
165,David M. Smith,1998,0,0,0,0,0,0,0,0.0,0.0
166,David C. Frederick,1998,0,0,0,0,0,0,0,0.0,0.0
167,Ernest Gellhorn,1998,0,0,0,0,0,0,0,0.0,0.0
168,Lawrence G. Wallace,1998,0,0,0,0,0,0,0,0.0,0.0
169,"Bruce J. Ennis, Jr.",1998,0,0,0,0,0,0,0,0.0,0.0
