,year,speaker_name,by_male,by_female,by_male_judge,by_female_judge,by_male_lawyer,by_female_lawyer,by_male_n,by_female_n,by_male_judge_n,by_female_judge_n,by_male_lawyer_n,by_female_lawyer_n
85,2011,Sonia Sotomayor,59,8,20,6,39,2,1.0,0.444444444444,0.740740740741,0.428571428571,1.0,0.4
86,2011,Antonin Scalia,33,13,5,8,28,5,0.422222222222,1.0,0.185185185185,0.714285714286,0.633333333333,1.0
87,2011,Stephen G. Breyer,35,8,10,7,25,1,0.466666666667,0.444444444444,0.37037037037,0.571428571429,0.533333333333,0.2
88,2012,Anthony M. Kennedy,4,0,1,0,3,0,0.272727272727,0.0,0.5,0.0,0.222222222222,0.0
89,2012,Elena Kagan,4,0,2,0,2,0,0.272727272727,0.0,1.0,0.0,0.111111111111,0.0
90,2012,Sonia Sotomayor,12,2,2,2,10,0,1.0,1.0,1.0,1.0,1.0,0.0
91,2012,Stephen G. Breyer,3,1,1,1,2,0,0.181818181818,0.5,0.5,0.5,0.111111111111,0.0
92,2012,"Samuel A. Alito, Jr.",1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
93,2012,Ruth Bader Ginsburg,2,0,0,0,2,0,0.0909090909091,0.0,0.0,0.0,0.111111111111,0.0
94,2012,Antonin Scalia,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
95,2012,"John G. Roberts, Jr.",2,0,0,0,2,0,0.0909090909091,0.0,0.0,0.0,0.111111111111,0.0
