Year,TextGrid,TierNumber,TierName,useable,
2006,2006_05_595.TextGrid,1,franny a forsman,1,
2006,2006_05_595.TextGrid,2,irving l gornstein,1,
2006,2006_05_595.TextGrid,3,david h souter,1,
2006,2006_05_595.TextGrid,4,george j chanos,1,
2006,2006_05_595.TextGrid,5,antonin scalia,1,
2006,2006_05_595.TextGrid,6,john g roberts jr,1,
2006,2006_05_595.TextGrid,7,john paul stevens,1,
2006,2006_05_595.TextGrid,8,anthony kennedy,1,
2006,2006_05_595.TextGrid,9,samuel a alito jr,1,
2006,2006_05_595.TextGrid,10,ruth bader ginsburg,1,
2006,2006_05_595.TextGrid,11,stephen g breyer,1,
2006,2006_05_608.TextGrid,1,david h souter,1,
2006,2006_05_608.TextGrid,2,antonin scalia,1,
2006,2006_05_608.TextGrid,3,john g roberts jr,1,
2006,2006_05_608.TextGrid,4,maureen e mahoney,1,
2006,2006_05_608.TextGrid,5,john paul stevens,1,
2006,2006_05_608.TextGrid,6,anthony kennedy,1,
2006,2006_05_608.TextGrid,7,deanne e maynard,1,
2006,2006_05_608.TextGrid,8,samuel a alito jr,1,
2006,2006_05_608.TextGrid,9,john g kester,1,
2006,2006_05_608.TextGrid,10,ruth bader ginsburg,1,
2006,2006_05_608.TextGrid,11,stephen g breyer,1,
2006,2006_05_6551.TextGrid,1,david h souter,1,
2006,2006_05_6551.TextGrid,2,antonin scalia,1,
2006,2006_05_6551.TextGrid,3,john g roberts jr,1,
2006,2006_05_6551.TextGrid,4,john paul stevens,1,
2006,2006_05_6551.TextGrid,5,anthony kennedy,1,
2006,2006_05_6551.TextGrid,6,peter gold,1,
2006,2006_05_6551.TextGrid,7,samuel a alito jr,1,
2006,2006_05_6551.TextGrid,8,ruth bader ginsburg,1,
2006,2006_05_6551.TextGrid,9,jeffrey mk laurence,1,
2006,2006_05_6551.TextGrid,10,stephen g breyer,1,
2006,2006_05_669.TextGrid,1,jeffrey a lamken,1,
2006,2006_05_669.TextGrid,2,john paul stevens,1,
2006,2006_05_669.TextGrid,3,daryl joseffer,1,
2006,2006_05_669.TextGrid,4,david h souter,1,
2006,2006_05_669.TextGrid,5,samuel a alito jr,1,
2006,2006_05_669.TextGrid,6,antonin scalia,1,
2006,2006_05_669.TextGrid,7,ruth bader ginsburg,1,
2006,2006_05_7058.TextGrid,1,david h souter,1,
2006,2006_05_7058.TextGrid,2,antonin scalia,1,
2006,2006_05_7058.TextGrid,3,john g roberts jr,1,
2006,2006_05_7058.TextGrid,4,john paul stevens,1,
2006,2006_05_7058.TextGrid,5,linda m olivieri,1,
2006,2006_05_7058.TextGrid,6,anthony kennedy,1,
2006,2006_05_7058.TextGrid,7,samuel a alito jr,1,
2006,2006_05_7058.TextGrid,8,ruth bader ginsburg,1,
2006,2006_05_7058.TextGrid,9,stephen g breyer,1,
