Year,TextGrid,TierNumber,TierName,useable,
1998,1998_98_727.TextGrid,3,antonin scalia,1,
1998,1998_98_727.TextGrid,4,john paul stevens,1,
1998,1998_98_727.TextGrid,5,anthony kennedy,1,
1998,1998_98_727.TextGrid,6,john j arnold,1,
1998,1998_98_727.TextGrid,7,thomas c goldstein,1,
1998,1998_98_727.TextGrid,8,ruth bader ginsburg,1,
1998,1998_98_727.TextGrid,9,unidentified justice,1,
1998,1998_98_727.TextGrid,10,stephen g breyer,1,
1998,1998_98_727.TextGrid,11,william h rehnquist,1,
1998,1998_98_830.TextGrid,1,thomas h shipps,1,
1998,1998_98_830.TextGrid,2,sandra day oconnor,1,
1998,1998_98_830.TextGrid,3,thomas j davidson,1,
1998,1998_98_830.TextGrid,4,david h souter,1,
1998,1998_98_830.TextGrid,5,antonin scalia,1,
1998,1998_98_830.TextGrid,6,carter g phillips,1,
1998,1998_98_830.TextGrid,7,john paul stevens,1,
1998,1998_98_830.TextGrid,8,jeffrey p minear,1,
1998,1998_98_830.TextGrid,9,anthony kennedy,1,
1998,1998_98_830.TextGrid,10,unidentified justice,1,
1998,1998_98_830.TextGrid,11,ruth bader ginsburg,1,
1998,1998_98_830.TextGrid,12,stephen g breyer,1,
1998,1998_98_830.TextGrid,13,william h rehnquist,1,
1998,1998_98_84.TextGrid,1,sandra day oconnor,1,
1998,1998_98_84.TextGrid,2,david h souter,1,
1998,1998_98_84.TextGrid,3,antonin scalia,1,
1998,1998_98_84.TextGrid,4,john g roberts jr,1,
1998,1998_98_84.TextGrid,5,john paul stevens,1,
1998,1998_98_84.TextGrid,6,carter g phillips,1,
1998,1998_98_84.TextGrid,7,anthony kennedy,1,
1998,1998_98_84.TextGrid,8,ruth bader ginsburg,1,
1998,1998_98_84.TextGrid,9,edwin s kneedler,1,
1998,1998_98_84.TextGrid,10,stephen g breyer,1,
1998,1998_98_84.TextGrid,11,william h rehnquist,1,
1998,1998_98_85.TextGrid,1,james a feldman,1,
1998,1998_98_85.TextGrid,2,walter e dellinger,1,
1998,1998_98_85.TextGrid,3,sandra day oconnor,1,
1998,1998_98_85.TextGrid,4,david h souter,1,
1998,1998_98_85.TextGrid,5,antonin scalia,1,
1998,1998_98_85.TextGrid,6,robinson o everett,1,
1998,1998_98_85.TextGrid,7,john paul stevens,1,
1998,1998_98_85.TextGrid,8,anthony kennedy,1,
1998,1998_98_85.TextGrid,9,ruth bader ginsburg,1,
1998,1998_98_85.TextGrid,10,unidentified justice,1,
1998,1998_98_85.TextGrid,11,stephen g breyer,1,
1998,1998_98_85.TextGrid,12,william h rehnquist,1,
1998,1998_98_97.TextGrid,1,sandra day oconnor,1,
1998,1998_98_97.TextGrid,2,david h souter,1,
1998,1998_98_97.TextGrid,3,antonin scalia,1,
1998,1998_98_97.TextGrid,4,mark d rosenbaum,1,
1998,1998_98_97.TextGrid,5,john paul stevens,1,
1998,1998_98_97.TextGrid,6,anthony kennedy,1,
1998,1998_98_97.TextGrid,7,seth p waxman,1,
1998,1998_98_97.TextGrid,8,ruth bader ginsburg,1,
1998,1998_98_97.TextGrid,9,unidentified justice,1,
1998,1998_98_97.TextGrid,10,stephen g breyer,1,
1998,1998_98_97.TextGrid,11,william h rehnquist,1,
1998,1998_98_97.TextGrid,12,theodore garelis,1,
1999,1999_8_orig.TextGrid,1,sandra day oconnor,1,
1999,1999_8_orig.TextGrid,2,david h souter,1,
1999,1999_8_orig.TextGrid,3,antonin scalia,1,
1999,1999_8_orig.TextGrid,4,john paul stevens,1,
1999,1999_8_orig.TextGrid,5,anthony kennedy,1,
1999,1999_8_orig.TextGrid,6,jeffrey p minear,1,
1999,1999_8_orig.TextGrid,7,mason d morisset,1,
1999,1999_8_orig.TextGrid,8,jerome c muys,1,
1999,1999_8_orig.TextGrid,9,ruth bader ginsburg,1,
1999,1999_8_orig.TextGrid,10,stephen g breyer,1,
1999,1999_8_orig.TextGrid,11,william h rehnquist,1,
1999,1999_98_1036.TextGrid,1,sandra day oconnor,1,
1999,1999_98_1036.TextGrid,2,david h souter,1,
1999,1999_98_1036.TextGrid,3,antonin scalia,1,
1999,1999_98_1036.TextGrid,4,john paul stevens,1,
1999,1999_98_1036.TextGrid,5,anthony kennedy,1,
1999,1999_98_1036.TextGrid,6,james b koch,1,
1999,1999_98_1036.TextGrid,7,ruth bader ginsburg,1,
1999,1999_98_1036.TextGrid,8,richard a devine,1,
1999,1999_98_1036.TextGrid,9,unidentified justice,1,
1999,1999_98_1036.TextGrid,10,malcolm l stewart,1,
1999,1999_98_1036.TextGrid,11,stephen g breyer,1,
1999,1999_98_1036.TextGrid,12,william h rehnquist,1,
1999,1999_98_1037.TextGrid,1,ronald j nessim,1,
1999,1999_98_1037.TextGrid,2,sandra day oconnor,1,
1999,1999_98_1037.TextGrid,3,david h souter,1,
1999,1999_98_1037.TextGrid,4,antonin scalia,1,
1999,1999_98_1037.TextGrid,5,carol f jorstad,1,
1999,1999_98_1037.TextGrid,6,john paul stevens,1,
1999,1999_98_1037.TextGrid,7,anthony kennedy,1,
1999,1999_98_1037.TextGrid,8,ruth bader ginsburg,1,
1999,1999_98_1037.TextGrid,9,unidentified justice,1,
1999,1999_98_1037.TextGrid,10,stephen g breyer,1,
1999,1999_98_1037.TextGrid,11,william h rehnquist,1,
1999,1999_98_1101.TextGrid,1,sandra day oconnor,1,
1999,1999_98_1101.TextGrid,2,daniel m traylor,1,
1999,1999_98_1101.TextGrid,3,david h souter,1,
1999,1999_98_1101.TextGrid,4,antonin scalia,1,
1999,1999_98_1101.TextGrid,5,john paul stevens,1,
1999,1999_98_1101.TextGrid,6,anthony kennedy,1,
1999,1999_98_1101.TextGrid,7,kent l jones,1,
1999,1999_98_1101.TextGrid,8,unidentified justice,1,
1999,1999_98_1101.TextGrid,9,ruth bader ginsburg,1,
1999,1999_98_1101.TextGrid,10,stephen g breyer,1,
